Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V1,2511065.49903,1151360.79623,0.754031,0.889079,43.833598
V2,2803190.22655,1181862.43547,2.19423,0.892516,127.557316
V3,2632282.94778,1170900.98660,1.352924,0.803314,78.650524
V4,2576863.10885,1216274.31208,1.010059,0.885985,58.717038
V5,2747332.18295,1165284.13366,2.658408,0.93727,154.533974
V6,2623779.38374,1134862.20068,2.421228,0.936047,140.746503
V7,2645300.72928,1215402.98839,1.371074,0.83987,79.706142
V8,2800869.01981,1171839.44509,2.654564,0.941315,154.311943
V9,2639787.20387,1214392.32849,1.410642,0.862449,82.00561
V10,2604195.22423,1155761.47280,2.362867,0.937141,137.354953
V11,2753849.34259,1222077.70469,1.380355,0.808211,80.246305
V12,2604692.60521,1139779.30446,3.07993,0.961504,179.034891
V13,2627701.82757,1105906.99033,3.199955,0.961533,186.011554
V14,2616346.14908,1094558.02043,3.328713,0.963476,193.495736
V15,2604650.89086,1252477.46509,0.965357,0.826296,56.116665
V16,2604785.96268,1176239.93859,1.757179,0.873653,102.151103
V17,2818574.08147,1180021.47113,2.593728,0.940565,150.776151
V18,2556422.04239,1113804.36563,2.295888,0.935979,133.462733
V19,2712912.84030,1262278.17746,1.135248,0.867796,65.994457
V20,2752916.45226,1254726.87143,1.666568,0.81601,96.882482
V21,2669949.77521,1146939.95084,2.967456,0.952815,172.495104
V22,2591311.77124,1152778.45581,1.933455,0.913411,112.395691
V23,2658022.73284,1140358.69124,2.269165,0.909235,131.909108
V24,2677823.54470,1249384.84581,1.310918,0.859179,76.208321
V25,2700107.63331,1125024.31863,1.949984,0.619244,113.368329
V26,2577010.25950,1205263.63900,1.068853,0.878818,62.133589
V27,2622688.21534,1178415.31910,1.633205,0.872708,94.943285
V28,2710428.17037,1223794.65858,1.605474,0.823557,93.330129
V29,2688079.34469,1257291.41730,1.152027,0.860038,66.970014
V30,2627932.70125,1166955.91291,1.628385,0.876789,94.662875
V31,2676473.96902,1186511.73364,2.6671,0.940387,155.039883
V32,2722669.53593,1251687.37744,1.306095,0.832065,75.927624
V33,2773100.04603,1184540.20992,2.422022,0.932491,140.794933
V34,2777577.68434,1149887.54523,2.880921,0.946964,167.467444
V35,2591293.04588,1185693.04531,1.255963,0.831295,73.015963
V36,2800088.00545,1162870.70037,2.882091,0.942977,167.53622
V37,2544248.44957,1178469.33112,0.985672,0.894991,57.299357
V38,2584450.94940,1209989.98315,1.079967,0.882518,62.779345
V39,2689827.92090,1240739.57751,1.353412,0.835762,78.679165
V40,2647437.65550,1179854.18744,1.719922,0.864311,99.986273
V41,2639726.59615,1110301.39207,3.016869,0.951628,175.369467
V42,2699480.79666,1181694.88342,2.56856,0.936553,149.310459
V43,2671123.21339,1212925.56281,1.575395,0.76939,91.588217
V44,2717577.05625,1193676.40768,2.298648,0.909048,133.624491
V45,2716440.63138,1171195.72192,2.295528,0.912182,133.442537
V46,2671352.26514,1204326.25797,1.533211,0.806817,89.133443
V47,2586208.33083,1218872.07224,1.082577,0.897603,62.93178
V48,2586025.61896,1222445.03654,1.049102,0.895525,60.985853
V49,2721320.42356,1090561.21621,1.477527,0.599081,85.916133
V50,2578147.16139,1250789.23465,0.953972,0.852416,55.456934
V51,2769810.73227,1189485.67086,2.19058,0.901754,127.34384
V52,2615280.57273,1146335.57065,2.551601,0.939514,148.325303
V53,2513537.35769,1145596.39292,0.617883,0.895009,35.917061
V54,2597644.46947,1209791.18081,1.165439,0.883265,67.74897
V55,2568867.81257,1102651.52718,1.790418,0.90316,104.083649
V56,2566985.86651,1145396.63255,1.92356,0.914087,111.8188
V57,2606395.17485,1146871.61799,2.249706,0.935013,130.778003
V58,2576159.30989,1257619.32664,0.983964,0.845001,57.201117
