Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V1,2511065.49903,1151360.79623,0.387434,0.581245,22.593249
V2,2803190.22655,1181862.43547,2.495047,0.670529,145.015962
V3,2632282.94778,1170900.98660,0.894779,0.237557,51.956234
V4,2576863.10885,1216274.31208,0.491024,0.591993,28.599355
V5,2747332.18295,1165284.13366,2.951191,0.769381,171.539475
V6,2623779.38374,1134862.20068,2.6642,0.837046,154.853756
V7,2645300.72928,1215402.98839,0.842069,0.206167,48.914558
V8,2800869.01981,1171839.44509,2.940037,0.80634,170.885839
V9,2639787.20387,1214392.32849,0.933576,0.204034,54.210535
V10,2604195.22423,1155761.47280,2.607319,0.778337,151.546241
V11,2753849.34259,1222077.70469,0.167884,0.134169,9.885318
V12,2604692.60521,1139779.30446,3.146604,0.897555,182.856078
V13,2627701.82757,1105906.99033,3.538071,0.866747,205.652655
V14,2616346.14908,1094558.02043,3.574724,0.89722,207.770393
V15,2604650.89086,1252477.46509,0.634195,0.449466,36.910694
V16,2604785.96268,1176239.93859,2.208355,0.334137,128.222736
V17,2818574.08147,1180021.47113,2.874653,0.827689,167.084191
V18,2556422.04239,1113804.36563,2.580582,0.589405,149.956912
V19,2712912.84030,1262278.17746,0.515313,0.328179,30.048016
V20,2752916.45226,1254726.87143,2.691485,0.148258,156.27738
V21,2669949.77521,1146939.95084,3.118333,0.830406,181.256939
V22,2591311.77124,1152778.45581,2.224034,0.660143,129.241512
V23,2658022.73284,1140358.69124,2.639882,0.541363,153.406103
V24,2677823.54470,1249384.84581,0.53582,0.208574,31.181852
V25,2700107.63331,1125024.31863,3.616137,0.213699,210.245132
V26,2577010.25950,1205263.63900,0.473254,0.467585,27.586472
V27,2622688.21534,1178415.31910,1.829141,0.408701,106.251762
V28,2710428.17037,1223794.65858,3.37829,0.075753,196.702822
V29,2688079.34469,1257291.41730,0.49471,0.31677,28.81984
V30,2627932.70125,1166955.91291,1.803927,0.341419,104.789873
