Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V1,2511065.49903,1151360.79623,0.283668,0.676409,16.629535
V2,2803190.22655,1181862.43547,2.887722,0.431006,167.94023
V3,2632282.94778,1170900.98660,1.03975,0.27994,60.517803
V4,2576863.10885,1216274.31208,0.40053,0.622276,23.381077
V5,2747332.18295,1165284.13366,3.47516,0.542523,202.042321
V6,2623779.38374,1134862.20068,2.711696,0.61845,157.63734
V7,2645300.72928,1215402.98839,0.263313,0.255855,15.619781
V8,2800869.01981,1171839.44509,3.170056,0.660802,184.304202
V9,2639787.20387,1214392.32849,0.035294,0.115117,2.805357
V10,2604195.22423,1155761.47280,2.616669,0.573651,152.103061
V11,2753849.34259,1222077.70469,5.131426,0.131604,298.208014
V12,2604692.60521,1139779.30446,3.140924,0.806442,182.595454
V13,2627701.82757,1105906.99033,3.825282,0.777222,222.369626
V14,2616346.14908,1094558.02043,3.840651,0.83346,223.261464
V15,2604650.89086,1252477.46509,0.591651,0.350351,34.49873
V16,2604785.96268,1176239.93859,1.968768,0.1483,114.20838
V17,2818574.08147,1180021.47113,3.027386,0.655726,176.009722
V18,2556422.04239,1113804.36563,2.792379,0.182001,162.058765
V19,2712912.84030,1262278.17746,0.648281,0.23688,37.778526
V20,2752916.45226,1254726.87143,3.28367,0.260737,190.837917
V21,2669949.77521,1146939.95084,3.493205,0.561928,203.045802
V22,2591311.77124,1152778.45581,1.53778,0.425079,89.390292
V23,2658022.73284,1140358.69124,2.603,0.363256,151.338447
V24,2677823.54470,1249384.84581,2.049595,0.090391,118.848682
V25,2700107.63331,1125024.31863,4.496576,0.491904,261.46052
V26,2577010.25950,1205263.63900,0.293148,0.471526,17.206682
V27,2622688.21534,1178415.31910,1.68508,0.366376,97.908629
V28,2710428.17037,1223794.65858,3.897547,0.352545,226.501173
V29,2688079.34469,1257291.41730,0.569749,0.305888,33.305744
V30,2627932.70125,1166955.91291,1.157384,0.347561,67.323331
V31,2676473.96902,1186511.73364,3.117815,0.670963,181.262827
V32,2722669.53593,1251687.37744,3.592588,0.074243,208.806746
V33,2773100.04603,1184540.20992,2.954176,0.630008,171.742536
V34,2777577.68434,1149887.54523,3.203935,0.723297,186.249225
V35,2591293.04588,1185693.04531,0.290854,0.359934,17.042335
V36,2800088.00545,1162870.70037,3.124552,0.800996,181.646388
V37,2544248.44957,1178469.33112,0.383171,0.606947,22.376483
V38,2584450.94940,1209989.98315,0.303582,0.536575,17.789929
V39,2689827.92090,1240739.57751,2.913157,0.053184,168.959162
V40,2647437.65550,1179854.18744,6.272243,0.009301,365.07665
V41,2639726.59615,1110301.39207,3.581866,0.538091,208.227428
V42,2699480.79666,1181694.88342,3.640782,0.481331,211.680916
V43,2671123.21339,1212925.56281,3.310554,0.220513,192.252476
V44,2717577.05625,1193676.40768,3.782029,0.467748,219.891477
V45,2716440.63138,1171195.72192,3.54296,0.434521,206.002434
V46,2671352.26514,1204326.25797,3.070329,0.189868,178.274074
V47,2586208.33083,1218872.07224,0.273032,0.469033,16.079123
V48,2586025.61896,1222445.03654,0.190563,0.543373,11.298155
V49,2721320.42356,1090561.21621,4.335931,0.163828,252.153945
V50,2578147.16139,1250789.23465,0.583358,0.471896,34.054741
V51,2769810.73227,1189485.67086,2.821732,0.622585,164.037914
V52,2615280.57273,1146335.57065,2.769231,0.657233,161.000421
V53,2513537.35769,1145596.39292,0.185661,0.712386,10.915718
V54,2597644.46947,1209791.18081,0.307074,0.500233,18.040263
V55,2568867.81257,1102651.52718,1.569275,0.390918,91.2506
V56,2566985.86651,1145396.63255,2.504444,0.333468,145.536432
V57,2606395.17485,1146871.61799,2.375437,0.408545,138.106698
V58,2576159.30989,1257619.32664,0.968517,0.490481,56.361234
V59,2674628.74792,1152682.27702,3.65264,0.535462,212.314996
V60,2744993.72185,1178997.77181,3.336631,0.340733,194.014688
V61,2597090.44884,1098408.52311,3.525738,0.879289,204.94916
V62,2705310.81268,1125035.61123,4.3659,0.516995,253.833622
V63,2759145.50855,1224601.02484,4.060422,0.314745,235.956798
V64,2605509.95760,1229309.05579,0.194565,0.539755,11.512873
V65,2770360.15934,1179533.89478,3.109093,0.732882,180.721126
V66,2701677.21626,1224489.17243,3.090397,0.233371,179.684177
V67,2676165.51529,1212626.17775,3.274141,0.273877,190.233786
V68,2696891.89623,1128201.20624,4.549623,0.509646,264.531825
V69,2756993.67403,1172759.51207,4.151391,0.374688,241.40453
V70,2672610.77093,1160297.97524,3.565107,0.766327,207.224922
V71,2734248.67634,1275380.21364,0.909466,0.275286,53.031749
V72,2735506.99726,1134326.16371,3.907016,0.38776,227.214379
